No.,Sample,Overpotential @ 10mA/cm2_geo (Volt)
1,Ni3ScMoTa,98.771
2,Ni3FeZnZr,98.771
3,Ni3ScMnMo,0.830469041
4,Ni3CoMoTa,0.705133635
5,Ni3FeZrMo,0.813747795
6,Ni3ScZnZr,98.771
7,Ni3ScFeCu,98.771
8,Ni3MnCoZn,98.771
9,Ni3FeCoTa,98.771
10,Ni3TiCoMo,0.584767494
11,Ni3ScFeTa,98.771
12,Ni3MnFeCo,98.771
13,Ni3TiMnTa,98.771
14,Ni3MnFeZr,98.771
15,Ni3FeCuZn,0.583196295
16,Ni3TiFeZn,98.771
17,Ni3ScTiMo,0.659461393
18,Ni3MnZnZr,98.771
19,Ni3TiMnFe,98.771
20,Ni3ScMnZn,98.771
21,Ni3TiMoTa,98.771
22,Ni3TiMnZr,98.771
23,Ni3ScZnTa,98.771
24,Ni3MnFeMo,0.472498924
25,Ni3MnZrTa,98.771
26,Ni3ZnZrTa,98.771
27,Ni3TiFeTa,98.771
28,Ni3TiCuZn,98.771
29,Ni3TiZrMo,98.771
30,Ni3CoCuZn,0.697509396
31,Ni3TiCuMo,0.750395273
32,Ni3TiCoCu,98.771
33,Ni3TiZrTa,98.771
34,Ni3FeCoCu,0.490930453
35,Ni3ZnMoTa,98.771
36,Ni3ScTiCu,98.771
37,Ni3CoZrTa,98.771
38,Ni3MnZnMo,0.588175549
39,Ni3MnMoTa,0.712962994
40,Ni3CuZrMo,0.728816321
41,Ni3ScFeZn,98.771
42,Ni3TiMnZn,98.771
43,Ni3FeZnMo,0.509919932
44,Ni3ScTiMn,98.771
45,Ni3CoCuMo,0.514697621
46,Ni3MnCuMo,0.566057289
47,Ni3MnFeTa,98.771
48,Ni3MnCuTa,98.771
49,Ni3TiZnMo,0.820485425
50,Ni3CoCuZr,98.771
51,Ni3ScCoZn,98.771
52,Ni3TiCuZr,98.771
53,Ni3TiFeCo,98.771
54,Ni3MnZnTa,98.771
55,Ni3MnCoTa,98.771
56,Ni3ScCoZr,98.771
57,Ni3FeCuTa,0.700945503
58,Ni3ScZrMo,98.771
59,Ni3TiMnCo,98.771
60,Ni3ScCuMo,0.755712929
61,Ni3TiCoTa,98.771
62,Ni3CuZnMo,0.615102334
63,Ni3MnFeZn,98.771
64,Ni3TiFeCu,98.771
65,Ni3CuZnTa,98.771
66,Ni3CoZnZr,98.771
67,Ni3CoZnMo,0.513003347
68,Ni3ScFeZr,98.771
69,Ni3FeCuZr,0.799106033
70,Ni3MnCuZn,98.771
71,Ni3MnCoZr,98.771
72,Ni3FeCoMo,0.418411459
73,Ni3FeCoZn,0.822979429
74,Ni3ScMnTa,98.771
75,Ni3CoCuTa,0.743928105
76,Ni3MnZrMo,98.771
77,Ni3ScZrTa,98.771
78,Ni3CoZnTa,98.771
79,Ni3ScCuZr,98.771
80,Ni3TiFeZr,98.771
81,Ni3ScZnMo,98.771
82,Ni3MnCoCu,98.771
83,Ni3FeZnTa,98.771
84,Ni3TiZnTa,98.771
85,Ni3ZrMoTa,98.771
86,Ni3ScMnFe,98.771
87,Ni3ScTiCo,98.771
88,Ni3ScCoMo,0.654695873
89,Ni3TiCuTa,98.771
90,Ni3CuMoTa,98.771
91,Ni3ScTiFe,98.771
92,Ni3ScCoCu,98.771
93,Ni3TiFeMo,0.616981843
94,Ni3ScFeCo,98.771
95,Ni3ScMnCo,98.771
96,Ni3ScTiZr,98.771
97,Ni3FeCoZr,98.771
98,Ni3ScCoTa,98.771
99,Ni3ScCuTa,98.771
100,Ni3CoZrMo,0.804888723
101,Ni3MnCuZr,98.771
102,Ni3ZnZrMo,98.771
103,Ni3TiCoZn,98.771
104,Ni3MnFeCu,98.771
105,Ni3ScMnCu,98.771
106,Ni3FeMoTa,98.771
107,Ni3ScMnZr,98.771
108,Ni3ScTiTa,98.771
109,Ni3MnCoMo,0.523072496
110,Ni3TiMnCu,98.771
111,Ni3FeZrTa,98.771
112,Ni3CuZnZr,98.771
113,Ni3TiMnMo,0.706704293
114,Ni3TiZnZr,98.771
115,Ni3ScTiZn,98.771
116,Ni3FeCuMo,0.509217744
117,Ni3CuZrTa,98.771
118,Ni3TiCoZr,98.771
119,Ni3ScCuZn,98.771
120,Ni3ScFeMo,0.689026747